VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
43, 1696, -0.08206, -0.04941, -0.01614,  0.64944, -0.74023, -0.17281, -0.75575, -0.65362, -0.03991, -1.00,  0.0439,  0.9597,  0.0171,  0.1454
44, 1695, -0.08309, -0.05131,  0.00244,  0.63103, -0.77026,  0.08985, -0.77434, -0.63259,  0.01455, -1.00,  0.0503,  0.9958,  0.01839,  0.15271
45, 997, -0.10336, -0.05626,  0.02371,  0.33922, -0.86293,  0.37453,  0.93538,  0.35172, -0.03683, -1.00,  0.9204,  0.955,  0.19466,  0.14444
46, 998, -0.10211, -0.04461,  0.04187,  0.35219, -0.69115,  0.63109,  0.90799,  0.41585, -0.05128, -1.00,  0.946,  0.8836,  0.19985,  0.12998
47, 996, -0.12449, -0.04889,  0.04508,  0.13661, -0.72702,  0.67289,  0.98043,  0.00202, -0.19685, -1.00,  0.93,  0.8701,  0.19661,  0.12724
48, 994, -0.14867, -0.05138,  0.04281, -0.18798, -0.77223,  0.6069,  0.89325, -0.39134, -0.22127, -1.00,  0.8676,  0.9152,  0.18397,  0.13638
49, 995, -0.12746, -0.06142,  0.02557,  0.08577, -0.92378,  0.37319,  0.99213,  0.04488, -0.11692, -1.00,  0.8868,  0.9536,  0.18786,  0.14416
50, 996, -0.12449, -0.04889,  0.04508,  0.13661, -0.72702,  0.67289,  0.98043,  0.00202, -0.19685, -1.00,  0.93,  0.8701,  0.19661,  0.12724
51, 1689, -0.10129, -0.05984, -0.01933,  0.36662, -0.91017, -0.19281, -0.93034, -0.36042, -0.06763, -1.00,  0.0798,  0.955,  0.02437,  0.14444
52, 1687, -0.12514, -0.06543, -0.0226,  0.11372, -0.97198, -0.20571, -0.97671, -0.07146, -0.20232, -1.00,  0.1134,  0.9536,  0.03118,  0.14416
53, 1688, -0.12021, -0.05626, -0.04354,  0.19458, -0.82696, -0.52752, -0.95708, -0.04229, -0.28673, -1.00,  0.0702,  0.8701,  0.02242,  0.12724
54, 1682, -0.14904, -0.06471, -0.02416, -0.2145, -0.95648, -0.19783, -0.93852,  0.25793, -0.22944, -1.00,  0.159,  0.9613,  0.04041,  0.14572
55, 1686, -0.14451, -0.05854, -0.04322, -0.13518, -0.86325, -0.48634, -0.86483,  0.34233, -0.36725, -1.00,  0.1326,  0.9152,  0.03506,  0.13638
56, 1687, -0.12514, -0.06543, -0.0226,  0.11372, -0.97198, -0.20571, -0.97671, -0.07146, -0.20232, -1.00,  0.1134,  0.9536,  0.03118,  0.14416
57, 1005, -0.06758, -0.0393,  0.00181,  0.65551, -0.75048,  0.07522,  0.09178,  0.17826,  0.97894,  1.00,  0.9984,  0.9958,  0.21046,  0.15271
58, 1004, -0.08374, -0.04651,  0.0205,  0.62569, -0.69927,  0.34512,  0.75947,  0.64726, -0.06521, -1.00,  0.9563,  0.9597,  0.20194,  0.1454
59, 1003, -0.08309, -0.05131,  0.00244,  0.63103, -0.77026,  0.08985, -0.77434, -0.63259,  0.01455, -1.00,  0.9499,  0.9958,  0.20064,  0.15271
60, 1690, -0.0982, -0.05134, -0.03895,  0.40544, -0.78298, -0.47177, -0.9022, -0.42584, -0.06862, -1.00,  0.0542,  0.8836,  0.01918,  0.12998
61, 1696, -0.08206, -0.04941, -0.01614,  0.64944, -0.74023, -0.17281, -0.75575, -0.65362, -0.03991, -1.00,  0.0439,  0.9597,  0.0171,  0.1454
62, 1689, -0.10129, -0.05984, -0.01933,  0.36662, -0.91017, -0.19281, -0.93034, -0.36042, -0.06763, -1.00,  0.0798,  0.955,  0.02437,  0.14444
63, 987, -0.15158, -0.06513,  0.00041, -0.24027, -0.96825,  0.06901,  0.9707, -0.23969,  0.01681, -1.00,  0.8185,  0.9958,  0.17402,  0.15271
64, 988, -0.1514, -0.06064,  0.02469, -0.24007, -0.91241,  0.33149,  0.95409, -0.28477, -0.09286, -1.00,  0.8412,  0.9613,  0.17862,  0.14572
65, 984, -0.17469, -0.05004,  0.02233, -0.57832, -0.75307,  0.31372,  0.77688, -0.62575, -0.06995, -1.00,  0.7878,  0.9686,  0.1678,  0.1472
66, 1697, -0.06759, -0.0393,  0.0019,  0.65551, -0.75048,  0.07522,  0.09178,  0.17826,  0.97894,  1.00,  0.0018,  0.9958,  0.00857,  0.15271
67, 1695, -0.08309, -0.05131,  0.00244,  0.63103, -0.77026,  0.08985, -0.77434, -0.63259,  0.01455, -1.00,  0.0503,  0.9958,  0.01839,  0.15271
68, 1696, -0.08206, -0.04941, -0.01614,  0.64944, -0.74023, -0.17281, -0.75575, -0.65362, -0.03991, -1.00,  0.0439,  0.9597,  0.0171,  0.1454
69, 1689, -0.10129, -0.05984, -0.01933,  0.36662, -0.91017, -0.19281, -0.93034, -0.36042, -0.06763, -1.00,  0.0798,  0.955,  0.02437,  0.14444
70, 1688, -0.12021, -0.05626, -0.04354,  0.19458, -0.82696, -0.52752, -0.95708, -0.04229, -0.28673, -1.00,  0.0702,  0.8701,  0.02242,  0.12724
71, 1690, -0.0982, -0.05134, -0.03895,  0.40544, -0.78298, -0.47177, -0.9022, -0.42584, -0.06862, -1.00,  0.0542,  0.8836,  0.01918,  0.12998
72, 998, -0.10211, -0.04461,  0.04187,  0.35219, -0.69115,  0.63109,  0.90799,  0.41585, -0.05128, -1.00,  0.946,  0.8836,  0.19985,  0.12998
73, 1004, -0.08374, -0.04651,  0.0205,  0.62569, -0.69927,  0.34512,  0.75947,  0.64726, -0.06521, -1.00,  0.9563,  0.9597,  0.20194,  0.1454
74, 1007, -0.08407, -0.03635,  0.03635,  0.63417, -0.56678,  0.52552,  0.7142,  0.68998, -0.11754, -1.00,  0.9667,  0.8999,  0.20404,  0.13328
75, 1686, -0.14451, -0.05854, -0.04322, -0.13518, -0.86325, -0.48634, -0.86483,  0.34233, -0.36725, -1.00,  0.1326,  0.9152,  0.03506,  0.13638
76, 1688, -0.12021, -0.05626, -0.04354,  0.19458, -0.82696, -0.52752, -0.95708, -0.04229, -0.28673, -1.00,  0.0702,  0.8701,  0.02242,  0.12724
77, 1687, -0.12514, -0.06543, -0.0226,  0.11372, -0.97198, -0.20571, -0.97671, -0.07146, -0.20232, -1.00,  0.1134,  0.9536,  0.03118,  0.14416
78, 1681, -0.15158, -0.06513,  0.00041, -0.24027, -0.96825,  0.06901, -0.96592,  0.23143, -0.11593, -1.00,  0.1817,  0.9958,  0.04501,  0.15271
79, 1678, -0.17236, -0.05405, -0.02582, -0.55163, -0.7991, -0.23905, -0.76161,  0.59942, -0.24625, -1.00,  0.2124,  0.9686,  0.05123,  0.1472
80, 1682, -0.14904, -0.06471, -0.02416, -0.2145, -0.95648, -0.19783, -0.93852,  0.25793, -0.22944, -1.00,  0.159,  0.9613,  0.04041,  0.14572
81, 1005, -0.06758, -0.0393,  0.00181,  0.65551, -0.75048,  0.07522,  0.09178,  0.17826,  0.97894,  1.00,  0.9984,  0.9958,  0.21046,  0.15271
82, 1006, -0.0681, -0.03432,  0.01678,  0.64042, -0.6873,  0.34066, -0.00135,  0.44271,  0.89585,  1.00,  0.992,  0.9647,  0.20917,  0.14641
83, 1004, -0.08374, -0.04651,  0.0205,  0.62569, -0.69927,  0.34512,  0.75947,  0.64726, -0.06521, -1.00,  0.9563,  0.9597,  0.20194,  0.1454
84, 982, -0.16891, -0.04281,  0.04022, -0.51206, -0.6376,  0.57555,  0.71153, -0.69022, -0.13159, -1.00,  0.8207,  0.9321,  0.17446,  0.1398
85, 988, -0.1514, -0.06064,  0.02469, -0.24007, -0.91241,  0.33149,  0.95409, -0.28477, -0.09286, -1.00,  0.8412,  0.9613,  0.17862,  0.14572
86, 994, -0.14867, -0.05138,  0.04281, -0.18798, -0.77223,  0.6069,  0.89325, -0.39134, -0.22127, -1.00,  0.8676,  0.9152,  0.18397,  0.13638
87, 1007, -0.08407, -0.03635,  0.03635,  0.63417, -0.56678,  0.52552,  0.7142,  0.68998, -0.11754, -1.00,  0.9667,  0.8999,  0.20404,  0.13328
88, 1004, -0.08374, -0.04651,  0.0205,  0.62569, -0.69927,  0.34512,  0.75947,  0.64726, -0.06521, -1.00,  0.9563,  0.9597,  0.20194,  0.1454
89, 1006, -0.0681, -0.03432,  0.01678,  0.64042, -0.6873,  0.34066, -0.00135,  0.44271,  0.89585,  1.00,  0.992,  0.9647,  0.20917,  0.14641
90, 994, -0.14867, -0.05138,  0.04281, -0.18798, -0.77223,  0.6069,  0.89325, -0.39134, -0.22127, -1.00,  0.8676,  0.9152,  0.18397,  0.13638
91, 996, -0.12449, -0.04889,  0.04508,  0.13661, -0.72702,  0.67289,  0.98043,  0.00202, -0.19685, -1.00,  0.93,  0.8701,  0.19661,  0.12724
92, 1001, -0.14515, -0.03918,  0.05412, -0.12912, -0.55129,  0.82426,  0.81598, -0.53139, -0.22758, -1.00,  0.904,  0.8623,  0.19134,  0.12566
93, 1002, -0.11977, -0.03039,  0.05808,  0.16899, -0.46598,  0.86851,  0.98487,  0.11411, -0.13041, -1.00,  0.9833,  0.7709,  0.20741,  0.10715
94, 996, -0.12449, -0.04889,  0.04508,  0.13661, -0.72702,  0.67289,  0.98043,  0.00202, -0.19685, -1.00,  0.93,  0.8701,  0.19661,  0.12724
95, 998, -0.10211, -0.04461,  0.04187,  0.35219, -0.69115,  0.63109,  0.90799,  0.41585, -0.05128, -1.00,  0.946,  0.8836,  0.19985,  0.12998
96, 987, -0.15158, -0.06513,  0.00041, -0.24027, -0.96825,  0.06901,  0.9707, -0.23969,  0.01681, -1.00,  0.8185,  0.9958,  0.17402,  0.15271
97, 984, -0.17469, -0.05004,  0.02233, -0.57832, -0.75307,  0.31372,  0.77688, -0.62575, -0.06995, -1.00,  0.7878,  0.9686,  0.1678,  0.1472
98, 986, -0.1747, -0.05521, -0.00154, -0.57385, -0.81796,  0.04039,  0.8189, -0.57254,  0.04002, -1.00,  0.7614,  0.9958,  0.16245,  0.15271
99, 1697, -0.06759, -0.0393,  0.0019,  0.65551, -0.75048,  0.07522,  0.09178,  0.17826,  0.97894,  1.00,  0.0018,  0.9958,  0.00857,  0.15271
100, 1696, -0.08206, -0.04941, -0.01614,  0.64944, -0.74023, -0.17281, -0.75575, -0.65362, -0.03991, -1.00,  0.0439,  0.9597,  0.0171,  0.1454
101, 1698, -0.06693, -0.03635, -0.0136,  0.66116, -0.72305, -0.19662,  0.12986,  0.36867, -0.91975, -1.00,  0.0082,  0.9647,  0.00986,  0.14641
102, 1690, -0.0982, -0.05134, -0.03895,  0.40544, -0.78298, -0.47177, -0.9022, -0.42584, -0.06862, -1.00,  0.0542,  0.8836,  0.01918,  0.12998
103, 1699, -0.08087, -0.04186, -0.03335,  0.67526, -0.63761, -0.37023, -0.71048, -0.6973, -0.09461, -1.00,  0.0335,  0.8999,  0.01499,  0.13328
104, 1696, -0.08206, -0.04941, -0.01614,  0.64944, -0.74023, -0.17281, -0.75575, -0.65362, -0.03991, -1.00,  0.0439,  0.9597,  0.0171,  0.1454
105, 1681, -0.15158, -0.06513,  0.00041, -0.24027, -0.96825,  0.06901, -0.96592,  0.23143, -0.11593, -1.00,  0.1817,  0.9958,  0.04501,  0.15271
106, 1680, -0.1747, -0.05521, -0.00154, -0.57385, -0.81796,  0.04039, -0.81439,  0.56475, -0.13355, -1.00,  0.2388,  0.9958,  0.05658,  0.15271
107, 1678, -0.17236, -0.05405, -0.02582, -0.55163, -0.7991, -0.23905, -0.76161,  0.59942, -0.24625, -1.00,  0.2124,  0.9686,  0.05123,  0.1472
108, 1011, -0.09933, -0.02853,  0.05213,  0.3684, -0.47651,  0.79826,  0.85587,  0.5091, -0.09109, -1.00,  0.9766,  0.817,  0.20605,  0.11649
109, 998, -0.10211, -0.04461,  0.04187,  0.35219, -0.69115,  0.63109,  0.90799,  0.41585, -0.05128, -1.00,  0.946,  0.8836,  0.19985,  0.12998
110, 1007, -0.08407, -0.03635,  0.03635,  0.63417, -0.56678,  0.52552,  0.7142,  0.68998, -0.11754, -1.00,  0.9667,  0.8999,  0.20404,  0.13328
111, 982, -0.16891, -0.04281,  0.04022, -0.51206, -0.6376,  0.57555,  0.71153, -0.69022, -0.13159, -1.00,  0.8207,  0.9321,  0.17446,  0.1398
112, 984, -0.17469, -0.05004,  0.02233, -0.57832, -0.75307,  0.31372,  0.77688, -0.62575, -0.06995, -1.00,  0.7878,  0.9686,  0.1678,  0.1472
113, 988, -0.1514, -0.06064,  0.02469, -0.24007, -0.91241,  0.33149,  0.95409, -0.28477, -0.09286, -1.00,  0.8412,  0.9613,  0.17862,  0.14572
114, 1699, -0.08087, -0.04186, -0.03335,  0.67526, -0.63761, -0.37023, -0.71048, -0.6973, -0.09461, -1.00,  0.0335,  0.8999,  0.01499,  0.13328
115, 1698, -0.06693, -0.03635, -0.0136,  0.66116, -0.72305, -0.19662,  0.12986,  0.36867, -0.91975, -1.00,  0.0082,  0.9647,  0.00986,  0.14641
116, 1696, -0.08206, -0.04941, -0.01614,  0.64944, -0.74023, -0.17281, -0.75575, -0.65362, -0.03991, -1.00,  0.0439,  0.9597,  0.0171,  0.1454
117, 1676, -0.16484, -0.04982, -0.04402, -0.4597, -0.72788, -0.50879, -0.69015,  0.65336, -0.31115, -1.00,  0.1795,  0.9321,  0.04457,  0.1398
118, 1686, -0.14451, -0.05854, -0.04322, -0.13518, -0.86325, -0.48634, -0.86483,  0.34233, -0.36725, -1.00,  0.1326,  0.9152,  0.03506,  0.13638
119, 1682, -0.14904, -0.06471, -0.02416, -0.2145, -0.95648, -0.19783, -0.93852,  0.25793, -0.22944, -1.00,  0.159,  0.9613,  0.04041,  0.14572
120, 1001, -0.14515, -0.03918,  0.05412, -0.12912, -0.55129,  0.82426,  0.81598, -0.53139, -0.22758, -1.00,  0.904,  0.8623,  0.19134,  0.12566
121, 996, -0.12449, -0.04889,  0.04508,  0.13661, -0.72702,  0.67289,  0.98043,  0.00202, -0.19685, -1.00,  0.93,  0.8701,  0.19661,  0.12724
122, 1002, -0.11977, -0.03039,  0.05808,  0.16899, -0.46598,  0.86851,  0.98487,  0.11411, -0.13041, -1.00,  0.9833,  0.7709,  0.20741,  0.10715
123, 1007, -0.08407, -0.03635,  0.03635,  0.63417, -0.56678,  0.52552,  0.7142,  0.68998, -0.11754, -1.00,  0.9667,  0.8999,  0.20404,  0.13328
124, 1006, -0.0681, -0.03432,  0.01678,  0.64042, -0.6873,  0.34066, -0.00135,  0.44271,  0.89585,  1.00,  0.992,  0.9647,  0.20917,  0.14641
125, 1008, -0.06805, -0.02545,  0.02901,  0.62452, -0.5646,  0.53832,  0.07343,  0.729,  0.67962,  1.00,  0.9894,  0.9196,  0.20864,  0.13727
126, 1686, -0.14451, -0.05854, -0.04322, -0.13518, -0.86325, -0.48634, -0.86483,  0.34233, -0.36725, -1.00,  0.1326,  0.9152,  0.03506,  0.13638
127, 1693, -0.13984, -0.04835, -0.05599, -0.05404, -0.68074, -0.73053, -0.7862,  0.48004, -0.38917, -1.00,  0.0962,  0.8623,  0.02769,  0.12566
128, 1688, -0.12021, -0.05626, -0.04354,  0.19458, -0.82696, -0.52752, -0.95708, -0.04229, -0.28673, -1.00,  0.0702,  0.8701,  0.02242,  0.12724
129, 1002, -0.11977, -0.03039,  0.05808,  0.16899, -0.46598,  0.86851,  0.98487,  0.11411, -0.13041, -1.00,  0.9833,  0.7709,  0.20741,  0.10715
130, 998, -0.10211, -0.04461,  0.04187,  0.35219, -0.69115,  0.63109,  0.90799,  0.41585, -0.05128, -1.00,  0.946,  0.8836,  0.19985,  0.12998
131, 1011, -0.09933, -0.02853,  0.05213,  0.3684, -0.47651,  0.79826,  0.85587,  0.5091, -0.09109, -1.00,  0.9766,  0.817,  0.20605,  0.11649
132, 1676, -0.16484, -0.04982, -0.04402, -0.4597, -0.72788, -0.50879, -0.69015,  0.65336, -0.31115, -1.00,  0.1795,  0.9321,  0.04457,  0.1398
133, 1682, -0.14904, -0.06471, -0.02416, -0.2145, -0.95648, -0.19783, -0.93852,  0.25793, -0.22944, -1.00,  0.159,  0.9613,  0.04041,  0.14572
134, 1678, -0.17236, -0.05405, -0.02582, -0.55163, -0.7991, -0.23905, -0.76161,  0.59942, -0.24625, -1.00,  0.2124,  0.9686,  0.05123,  0.1472
135, 1694, -0.11412, -0.04013, -0.0589,  0.24761, -0.60153, -0.7595, -0.96875, -0.14191, -0.20344, -1.00,  0.0169,  0.7709,  0.01163,  0.10715
136, 1690, -0.0982, -0.05134, -0.03895,  0.40544, -0.78298, -0.47177, -0.9022, -0.42584, -0.06862, -1.00,  0.0542,  0.8836,  0.01918,  0.12998
137, 1688, -0.12021, -0.05626, -0.04354,  0.19458, -0.82696, -0.52752, -0.95708, -0.04229, -0.28673, -1.00,  0.0702,  0.8701,  0.02242,  0.12724
138, 983, -0.163, -0.03255,  0.05285, -0.39487, -0.45207,  0.79982,  0.61567, -0.77637, -0.13486, -1.00,  0.8521,  0.89,  0.18083,  0.13128
139, 994, -0.14867, -0.05138,  0.04281, -0.18798, -0.77223,  0.6069,  0.89325, -0.39134, -0.22127, -1.00,  0.8676,  0.9152,  0.18397,  0.13638
140, 1001, -0.14515, -0.03918,  0.05412, -0.12912, -0.55129,  0.82426,  0.81598, -0.53139, -0.22758, -1.00,  0.904,  0.8623,  0.19134,  0.12566
141, 1703, -0.09433, -0.03715, -0.05141,  0.43929, -0.59873, -0.66973, -0.84726, -0.52395, -0.08733, -1.00,  0.0236,  0.817,  0.01298,  0.11649
142, 1699, -0.08087, -0.04186, -0.03335,  0.67526, -0.63761, -0.37023, -0.71048, -0.6973, -0.09461, -1.00,  0.0335,  0.8999,  0.01499,  0.13328
143, 1690, -0.0982, -0.05134, -0.03895,  0.40544, -0.78298, -0.47177, -0.9022, -0.42584, -0.06862, -1.00,  0.0542,  0.8836,  0.01918,  0.12998
144, 983, -0.163, -0.03255,  0.05285, -0.39487, -0.45207,  0.79982,  0.61567, -0.77637, -0.13486, -1.00,  0.8521,  0.89,  0.18083,  0.13128
145, 982, -0.16891, -0.04281,  0.04022, -0.51206, -0.6376,  0.57555,  0.71153, -0.69022, -0.13159, -1.00,  0.8207,  0.9321,  0.17446,  0.1398
146, 994, -0.14867, -0.05138,  0.04281, -0.18798, -0.77223,  0.6069,  0.89325, -0.39134, -0.22127, -1.00,  0.8676,  0.9152,  0.18397,  0.13638
147, 1011, -0.09933, -0.02853,  0.05213,  0.3684, -0.47651,  0.79826,  0.85587,  0.5091, -0.09109, -1.00,  0.9766,  0.817,  0.20605,  0.11649
148, 1007, -0.08407, -0.03635,  0.03635,  0.63417, -0.56678,  0.52552,  0.7142,  0.68998, -0.11754, -1.00,  0.9667,  0.8999,  0.20404,  0.13328
149, 1009, -0.08234, -0.02201,  0.04593,  0.62968, -0.41002,  0.65953,  0.08206, -0.80918, -0.58146, -1.00,  0.9852,  0.8436,  0.20779,  0.12188
150, 1009, -0.08234, -0.02201,  0.04593,  0.62968, -0.41002,  0.65953,  0.08206, -0.80918, -0.58146, -1.00,  0.9852,  0.8436,  0.20779,  0.12188
151, 1007, -0.08407, -0.03635,  0.03635,  0.63417, -0.56678,  0.52552,  0.7142,  0.68998, -0.11754, -1.00,  0.9667,  0.8999,  0.20404,  0.13328
152, 1008, -0.06805, -0.02545,  0.02901,  0.62452, -0.5646,  0.53832,  0.07343,  0.729,  0.67962,  1.00,  0.9894,  0.9196,  0.20864,  0.13727
153, 1699, -0.08087, -0.04186, -0.03335,  0.67526, -0.63761, -0.37023, -0.71048, -0.6973, -0.09461, -1.00,  0.0335,  0.8999,  0.01499,  0.13328
